Control Ref. No,Control Name,Control Description,Questionnares,Evidence Required,Client Remark,Auditor Observations,Risk,Recommendations,Status
CLD.6.3,Identity Federation & Single Sign-On (SSO),"ISO/IEC 27017 mandates organizations to implement Identity Federation and Single Sign-On (SSO) to enable centralized authentication across cloud services. This ensures secure access management by integrating trusted Cloud Identity Providers (IdPs) using protocols like OAuth, SAML, and OpenID Connect. Proper controls prevent unauthorized access and improve authentication efficiency.","1. Does your organization use Single Sign-On (SSO) for cloud-based applications?
 
 A) Yes, SSO is integrated with cloud identity providers
 B) Some applications support SSO, while others require separate logins
 C) Each cloud application has its own independent authentication system
 D) SSO is not implemented
 Answer: A",SSO Implementation Documentation: Proof of SSO integration with cloud applications using federated authentication.,FALSE,,,,
,,,"2. How does your organization ensure the security of SSO authentication mechanisms?
 
 A) SSO authentication is protected with MFA and strict access controls
 B) SSO authentication relies solely on username and password
 C) Users can bypass SSO and log in with separate credentials
 D) There are no specific security controls for SSO
 Answer: A","Federated Identity Provider (IdP) Configuration: Evidence of SAML, OAuth, or OpenID Connect integration.",FALSE,,,,
,,,"3. Which protocol does your organization use for federated authentication?
 
 A) SAML, OAuth, or OpenID Connect
 B) Custom-built authentication without standard protocols
 C) Plain text credentials stored in the cloud provider’s database
 D) No federated authentication is used
 Answer: A",MFA Enforcement Logs: Proof that MFA is required for all federated users.,FALSE,,,,
,,,"4. How does your organization handle access revocation for federated identities?
 
 A) Access is revoked at the identity provider (IdP) level, preventing further logins
 B) Cloud applications must be manually updated to remove access
 C) Users retain access even after their account is disabled
 D) There is no formal process for access revocation
 Answer: A",Federated Authentication Logs: Security logs showing federated login events and user activity tracking.,FALSE,,,,
,,,"5. How does your organization prevent unauthorized access via federated identity mechanisms?
 
 A) Enforces attribute-based access control (ABAC) and real-time session validation
 B) Once authenticated, users have unlimited access to all resources
 C) Cloud applications trust all federated users without verification
 D) No security controls exist beyond basic authentication
 Answer: A",Access Revocation Procedures: Documentation proving revocation of federated access at IdP level when users leave.,FALSE,,,,
,,,"6. Is Multi-Factor Authentication (MFA) enforced for federated identity logins?
 
 A) Yes, MFA is enforced at the IdP level for all federated access
 B) MFA is only required for admin users
 C) Users can choose whether to enable MFA for federated authentication
 D) MFA is not enforced for federated identities
 Answer: A",Federated Access Risk Assessment: Reports demonstrating evaluation of external identity providers before integration.,FALSE,,,,
,,,"7. How does your organization monitor and log federated authentication events?
 
 A) Authentication logs are collected and reviewed in SIEM solutions
 B) Logs are stored but not actively reviewed
 C) Federated authentication events are not logged
 D) Logging is only enabled for privileged users
 Answer: A",SIEM Integration Reports: Proof that federated authentication events are logged and monitored in SIEM tools.,FALSE,,,,
,,,"8. How does your organization validate external identity providers used for federation?
 
 A) Identity providers must be approved, vetted, and audited for security compliance
 B) Any identity provider can be integrated without verification
 C) Users can configure their own identity providers without approval
 D) External IdPs are used without any security validation
 Answer: A","Session Security Enforcement Logs: Evidence showing short session durations, token expiration policies, and active session monitoring.",FALSE,,,,
,,,"9. What controls are in place to prevent session hijacking in federated authentication?
 
 A) Short session expiration, token revocation, and active monitoring
 B) Sessions last indefinitely once a user logs in
 C) No additional session security mechanisms are enforced
 D) Users manage their own session security
 Answer: A",Identity Provider Vetting Policy: Internal documentation on how third-party IdPs are assessed for security and compliance.,FALSE,,,,
,,,"10. How does your organization handle failed authentication attempts for federated identities?
 
 A) Failed attempts are logged, analyzed, and trigger security alerts
 B) Failed login attempts are ignored
 C) Users are locked out permanently after multiple failures
 D) No formal process exists for failed authentication tracking
 Answer: A",Incident Response Records: Reports of failed federated authentication attempts and corresponding actions taken.,FALSE,,,,
CLD.7.1,Cloud Data Encryption & Key Management,"ISO/IEC 27017 requires organizations to implement encryption and key management strategies to protect data at rest and in transit within cloud environments. This includes using strong cryptographic algorithms, Cloud Key Management Services (KMS), tokenization, and digital signatures to ensure confidentiality, integrity, and compliance with regulations like GDPR, PCI DSS, and HIPAA.","1. What encryption mechanisms does your organization use to protect cloud data at rest?
 
 A) AES-256 or other strong encryption methods
 B) Data is stored without encryption
 C) Only obfuscation techniques are used
 D) Encryption is applied selectively based on user requests
 Answer: A",Encryption Policy & Procedures: Documented encryption standards for data at rest and in transit.,FALSE,,,,
,,,"2. How does your organization secure encryption keys for cloud data?
 
 A) Keys are stored and managed securely using a Cloud Key Management Service (KMS)
 B) Encryption keys are stored in plaintext files within cloud storage
 C) A single shared key is used for all encryption operations
 D) Key management is not formally implemented
 Answer: A","Cloud Key Management System (KMS) Configuration: Evidence of secure key storage, access control, and periodic key rotation.",FALSE,,,,
,,,"3. Is end-to-end encryption enforced for data in transit across cloud services?
 
 A) Yes, TLS 1.2+ or higher is enforced for all data transmissions
 B) Only internal data transfers are encrypted, external ones are not
 C) Encryption is not enforced for data in transit
 D) Encryption depends on individual application settings
 Answer: A",Encryption Logs & Reports: Proof that encryption is consistently applied across cloud services.,FALSE,,,,
,,,"4. How often does your organization rotate encryption keys?
 
 A) Keys are rotated periodically based on security policies (e.g., every 90 days)
 B) Keys remain unchanged unless there is a security incident
 C) Keys are reused indefinitely without rotation
 D) Key rotation is not considered a security requirement
 Answer: A",TLS Implementation Reports: Evidence of TLS 1.2+ or higher being enforced for data in transit.,FALSE,,,,
,,,"5. What measures are in place to prevent unauthorized access to encryption keys?
 
 A) Role-based access control (RBAC) and MFA are enforced for key access
 B) Keys are stored in unsecured locations accessible by all employees
 C) Encryption keys are embedded within application source code
 D) No specific measures are in place to restrict key access
 Answer: A",Key Rotation Logs: Documentation verifying that encryption keys are rotated as per security policies.,FALSE,,,,
,,,"6. Does your organization use hardware security modules (HSMs) for key protection?
 
 A) Yes, HSMs or cloud-based KMS with HSM-backed security are used
 B) No, encryption keys are stored in local databases
 C) HSMs are used, but they are not regularly maintained
 D) HSMs are not part of the key management strategy
 Answer: A",Access Control Reports for Encryption Keys: Evidence that RBAC and MFA are enforced for key access.,FALSE,,,,
,,,"7. How does your organization ensure the integrity of encrypted cloud data?
 
 A) Digital signatures and cryptographic hashes are used for data verification
 B) Data is encrypted but not validated for integrity
 C) Only access controls are used for data integrity, without cryptographic checks
 D) Integrity verification is handled manually when issues arise
 Answer: A",Use of Hardware Security Modules (HSMs): Proof of HSM-backed key protection or cloud KMS with HSM support.,FALSE,,,,
,,,"8. How does your organization handle encryption key lifecycle management?
 
 A) Keys are created, stored, rotated, and destroyed as per security policies
 B) Keys are generated once and used indefinitely
 C) There is no formal key lifecycle management process
 D) Encryption keys are deleted without logging or tracking
 Answer: A",Digital Signature & Data Integrity Verification Reports: Documentation showing cryptographic hash usage for data integrity.,FALSE,,,,
,,,"9. What type of encryption does your organization use for database encryption in cloud environments?
 
 A) Transparent Data Encryption (TDE) or column-level encryption
 B) Data is stored unencrypted in cloud databases
 C) Only passwords are encrypted, but other data is left unprotected
 D) Encryption is applied inconsistently based on business unit preferences
 Answer: A","Database Encryption Configuration Evidence: Proof that TDE, column-level encryption, or other methods are implemented.",FALSE,,,,
